"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",95,95,14,39,5,251,0,1.53
"GET","/analytics/today-reports/?urlId=0",95,95,120,215,5,2138,0,1.53
"GET","/analytics/today-reports/?urlId=1",1,0,50,50,50,50,17,0.02
"GET","/analytics/today-reports/?urlId=10",1,0,410,412,412,412,17,0.02
"GET","/analytics/today-reports/?urlId=100",1,0,1200,1201,1201,1201,17,0.02
"GET","/analytics/today-reports/?urlId=1000",1,0,38,38,38,38,17,0.02
"GET","/analytics/today-reports/?urlId=1001",1,0,9,9,9,9,17,0.02
"GET","/analytics/today-reports/?urlId=1002",1,0,8,8,8,8,17,0.02
"GET","/analytics/today-reports/?urlId=1003",1,0,18,18,18,18,17,0.02
"GET","/analytics/today-reports/?urlId=1004",1,0,13,13,13,13,17,0.02
"GET","/analytics/today-reports/?urlId=1005",1,0,21,21,21,21,17,0.02
"GET","/analytics/today-reports/?urlId=1006",1,0,10,10,10,10,17,0.02
"GET","/analytics/today-reports/?urlId=1007",1,0,8,8,8,8,17,0.02
"GET","/analytics/today-reports/?urlId=1008",1,0,12,12,12,12,17,0.02
"GET","/analytics/today-reports/?urlId=1009",1,0,20,20,20,20,17,0.02
"GET","/analytics/today-reports/?urlId=101",1,0,250,247,247,247,17,0.02
"GET","/analytics/today-reports/?urlId=1010",1,0,11,11,11,11,17,0.02
"GET","/analytics/today-reports/?urlId=1011",1,0,25,25,25,25,17,0.02
"GET","/analytics/today-reports/?urlId=1012",1,0,11,11,11,11,17,0.02
"GET","/analytics/today-reports/?urlId=1013",1,0,15,15,15,15,17,0.02
"GET","/analytics/today-reports/?urlId=1014",1,0,62,62,62,62,17,0.02
"GET","/analytics/today-reports/?urlId=1015",1,0,12,12,12,12,17,0.02
"GET","/analytics/today-reports/?urlId=1016",1,0,52,52,52,52,17,0.02
"GET","/analytics/today-reports/?urlId=1017",1,0,130,130,130,130,17,0.02
"GET","/analytics/today-reports/?urlId=1018",1,0,9,9,9,9,17,0.02
"GET","/analytics/today-reports/?urlId=1019",1,0,28,28,28,28,17,0.02
"GET","/analytics/today-reports/?urlId=102",1,0,680,678,678,678,17,0.02
"GET","/analytics/today-reports/?urlId=1020",1,0,16,16,16,16,17,0.02
"GET","/analytics/today-reports/?urlId=1021",1,0,42,42,42,42,17,0.02
"GET","/analytics/today-reports/?urlId=1022",1,0,13,13,13,13,17,0.02
"GET","/analytics/today-reports/?urlId=1023",1,0,14,14,14,14,17,0.02
"GET","/analytics/today-reports/?urlId=1024",1,0,25,25,25,25,17,0.02
"GET","/analytics/today-reports/?urlId=1025",1,0,21,21,21,21,17,0.02
"GET","/analytics/today-reports/?urlId=1026",1,0,13,13,13,13,17,0.02
"GET","/analytics/today-reports/?urlId=1027",1,0,36,36,36,36,17,0.02
"GET","/analytics/today-reports/?urlId=1028",1,0,11,11,11,11,17,0.02
"GET","/analytics/today-reports/?urlId=1029",1,0,12,12,12,12,17,0.02
"GET","/analytics/today-reports/?urlId=103",1,0,1600,1610,1610,1610,17,0.02
"GET","/analytics/today-reports/?urlId=1030",1,0,14,14,14,14,17,0.02
"GET","/analytics/today-reports/?urlId=1031",1,0,7,7,7,7,17,0.02
"GET","/analytics/today-reports/?urlId=1032",1,0,9,9,9,9,17,0.02
"GET","/analytics/today-reports/?urlId=1033",1,0,14,14,14,14,17,0.02
"GET","/analytics/today-reports/?urlId=1034",1,0,12,12,12,12,17,0.02
"GET","/analytics/today-reports/?urlId=1035",1,0,12,12,12,12,17,0.02
"GET","/analytics/today-reports/?urlId=1036",1,0,12,12,12,12,17,0.02
"GET","/analytics/today-reports/?urlId=1037",1,0,31,31,31,31,17,0.02
"GET","/analytics/today-reports/?urlId=1038",1,0,12,12,12,12,17,0.02
"GET","/analytics/today-reports/?urlId=1039",1,0,25,25,25,25,17,0.02
"GET","/analytics/today-reports/?urlId=104",1,0,1700,1664,1664,1664,17,0.02
"GET","/analytics/today-reports/?urlId=1040",1,0,8,8,8,8,17,0.02
"GET","/analytics/today-reports/?urlId=1041",1,0,15,15,15,15,17,0.02
"GET","/analytics/today-reports/?urlId=1042",1,0,92,92,92,92,17,0.02
"GET","/analytics/today-reports/?urlId=1043",1,0,13,13,13,13,17,0.02
"GET","/analytics/today-reports/?urlId=1044",1,0,14,14,14,14,17,0.02
"GET","/analytics/today-reports/?urlId=1045",1,0,110,107,107,107,17,0.02
"GET","/analytics/today-reports/?urlId=1046",1,0,13,13,13,13,17,0.02
"GET","/analytics/today-reports/?urlId=1047",1,0,48,48,48,48,17,0.02
"GET","/analytics/today-reports/?urlId=1048",1,0,9,9,9,9,17,0.02
"GET","/analytics/today-reports/?urlId=1049",1,0,12,12,12,12,17,0.02
"GET","/analytics/today-reports/?urlId=105",1,0,680,682,682,682,17,0.02
"GET","/analytics/today-reports/?urlId=1050",1,0,22,22,22,22,17,0.02
"GET","/analytics/today-reports/?urlId=1051",1,0,9,9,9,9,17,0.02
"GET","/analytics/today-reports/?urlId=1052",1,0,26,26,26,26,17,0.02
"GET","/analytics/today-reports/?urlId=1053",1,0,24,24,24,24,17,0.02
"GET","/analytics/today-reports/?urlId=1054",1,0,8,8,8,8,17,0.02
"GET","/analytics/today-reports/?urlId=1055",1,0,22,22,22,22,17,0.02
"GET","/analytics/today-reports/?urlId=1056",1,0,20,20,20,20,17,0.02
"GET","/analytics/today-reports/?urlId=1057",1,0,46,46,46,46,17,0.02
"GET","/analytics/today-reports/?urlId=1058",1,0,11,11,11,11,17,0.02
"GET","/analytics/today-reports/?urlId=1059",1,0,100,100,100,100,17,0.02
"GET","/analytics/today-reports/?urlId=106",1,0,320,317,317,317,17,0.02
"GET","/analytics/today-reports/?urlId=1060",1,0,20,20,20,20,17,0.02
"GET","/analytics/today-reports/?urlId=1061",1,0,40,40,40,40,17,0.02
"GET","/analytics/today-reports/?urlId=1062",1,0,20,20,20,20,17,0.02
"GET","/analytics/today-reports/?urlId=1063",1,0,11,11,11,11,17,0.02
"GET","/analytics/today-reports/?urlId=1064",1,0,16,16,16,16,17,0.02
"GET","/analytics/today-reports/?urlId=1065",1,0,24,24,24,24,17,0.02
"GET","/analytics/today-reports/?urlId=1066",1,0,9,9,9,9,17,0.02
"GET","/analytics/today-reports/?urlId=1067",1,0,34,34,34,34,17,0.02
"GET","/analytics/today-reports/?urlId=1068",1,0,40,40,40,40,17,0.02
"GET","/analytics/today-reports/?urlId=1069",1,0,20,20,20,20,17,0.02
"GET","/analytics/today-reports/?urlId=107",1,0,1300,1271,1271,1271,17,0.02
"GET","/analytics/today-reports/?urlId=1070",1,0,9,9,9,9,17,0.02
"GET","/analytics/today-reports/?urlId=1071",1,0,8,8,8,8,17,0.02
"GET","/analytics/today-reports/?urlId=1072",1,0,130,134,134,134,17,0.02
"GET","/analytics/today-reports/?urlId=1073",1,0,11,11,11,11,17,0.02
"GET","/analytics/today-reports/?urlId=1074",1,0,10,10,10,10,17,0.02
